Length,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
100,-0.3833,15.0267,0.09069,10.591,11.6,12.61,13.745,15.027,16.48,18.135,20.028,21.922
100.1,-0.3833,15.0547,0.09072,10.609,11.621,12.633,13.77,15.055,16.511,18.17,20.068,21.966
100.2,-0.3833,15.0828,0.09075,10.628,11.642,12.655,13.796,15.083,16.542,18.205,20.107,22.01
100.3,-0.3833,15.1109,0.09077,10.647,11.663,12.679,13.821,15.111,16.573,18.239,20.146,22.053
100.4,-0.3833,15.1392,0.0908,10.666,11.684,12.702,13.846,15.139,16.605,18.275,20.186,22.097
100.5,-0.3833,15.1676,0.09083,10.684,11.705,12.725,13.872,15.168,16.637,18.31,20.226,22.141
100.6,-0.3833,15.196,0.09085,10.704,11.726,12.748,13.898,15.196,16.668,18.345,20.265,22.185
100.7,-0.3833,15.2246,0.09088,10.723,11.747,12.771,13.924,15.225,16.7,18.381,20.305,22.229
100.8,-0.3833,15.2532,0.09091,10.742,11.768,12.795,13.949,15.253,16.732,18.417,20.345,22.274
100.9,-0.3833,15.2819,0.09093,10.761,11.79,12.818,13.975,15.282,16.764,18.452,20.385,22.318
101,-0.3833,15.3108,0.09096,10.78,11.811,12.842,14.001,15.311,16.796,18.488,20.426,22.363
101.1,-0.3833,15.3397,0.09099,10.799,11.832,12.865,14.027,15.34,16.828,18.524,20.466,22.408
101.2,-0.3833,15.3687,0.09102,10.818,11.854,12.889,14.053,15.369,16.861,18.561,20.507,22.453
101.3,-0.3833,15.3979,0.09105,10.838,11.875,12.913,14.08,15.398,16.893,18.597,20.548,22.499
101.4,-0.3833,15.4271,0.09107,10.858,11.897,12.937,14.106,15.427,16.926,18.633,20.588,22.544
101.5,-0.3833,15.4564,0.0911,10.877,11.919,12.96,14.133,15.456,16.958,18.67,20.63,22.589
101.6,-0.3833,15.4858,0.09113,10.896,11.94,12.984,14.159,15.486,16.991,18.706,20.671,22.635
101.7,-0.3833,15.5154,0.09116,10.916,11.962,13.008,14.186,15.515,17.024,18.743,20.712,22.682
101.8,-0.3833,15.545,0.09119,10.936,11.984,13.033,14.212,15.545,17.057,18.78,20.754,22.728
