Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
78.8,-0.3833,9.9892,0.08946,7.073,7.737,8.402,9.148,9.989,10.941,12.023,13.26,14.496
78.9,-0.3833,10.009,0.08945,7.087,7.753,8.419,9.166,10.009,10.963,12.047,13.285,14.524
79,-0.3833,10.0289,0.08943,7.102,7.769,8.436,9.185,10.029,10.984,12.07,13.311,14.551
79.1,-0.3833,10.0489,0.08942,7.116,7.784,8.453,9.203,10.049,11.006,12.094,13.337,14.58
79.2,-0.3833,10.069,0.08941,7.131,7.8,8.47,9.222,10.069,11.028,12.118,13.363,14.608
79.3,-0.3833,10.0891,0.0894,7.145,7.816,8.487,9.24,10.089,11.05,12.142,13.389,14.637
79.4,-0.3833,10.1094,0.08939,7.16,7.832,8.504,9.259,10.109,11.072,12.166,13.416,14.666
79.5,-0.3833,10.1298,0.08937,7.175,7.848,8.522,9.278,10.13,11.094,12.19,13.442,14.694
79.6,-0.3833,10.1503,0.08936,7.189,7.864,8.539,9.297,10.15,11.116,12.215,13.469,14.723
79.7,-0.3833,10.1709,0.08935,7.204,7.88,8.556,9.315,10.171,11.139,12.239,13.496,14.752
79.8,-0.3833,10.1916,0.08934,7.219,7.897,8.574,9.335,10.192,11.161,12.264,13.523,14.782
79.9,-0.3833,10.2123,0.08933,7.234,7.913,8.592,9.354,10.212,11.184,12.289,13.55,14.811
80,-0.3833,10.2332,0.08932,7.249,7.929,8.609,9.373,10.233,11.207,12.313,13.577,14.841
80.1,-0.3833,10.2542,0.0893,7.265,7.946,8.627,9.392,10.254,11.23,12.338,13.604,14.87
80.2,-0.3833,10.2753,0.08929,7.28,7.963,8.645,9.412,10.275,11.253,12.363,13.632,14.9
80.3,-0.3833,10.2965,0.08928,7.295,7.979,8.663,9.431,10.296,11.276,12.388,13.659,14.93
80.4,-0.3833,10.3178,0.08927,7.311,7.996,8.681,9.451,10.318,11.299,12.414,13.687,14.96
80.5,-0.3833,10.3393,0.08926,7.326,8.013,8.7,9.471,10.339,11.322,12.439,13.715,14.991
80.6,-0.3833,10.3608,0.08925,7.342,8.03,8.718,9.49,10.361,11.346,12.465,13.743,15.021
80.7,-0.3833,10.3824,0.08924,7.357,8.047,8.736,9.51,10.382,11.369,12.491,13.771,15.052
80.8,-0.3833,10.4041,0.08923,7.373,8.064,8.755,9.53,10.404,11.393,12.517,13.8,15.083
80.9,-0.3833,10.4258,0.08922,7.388,8.081,8.773,9.55,10.426,11.417,12.542,13.828,15.113
81,-0.3833,10.4477,0.08921,7.404,8.098,8.792,9.57,10.448,11.44,12.569,13.857,15.145
81.1,-0.3833,10.4697,0.0892,7.42,8.115,8.81,9.591,10.47,11.464,12.595,13.885,15.176
81.2,-0.3833,10.4918,0.08919,7.436,8.133,8.829,9.611,10.492,11.488,12.621,13.914,15.207
81.3,-0.3833,10.514,0.08918,7.452,8.15,8.848,9.631,10.514,11.513,12.647,13.943,15.239
81.4,-0.3833,10.5363,0.08917,7.468,8.167,8.867,9.652,10.536,11.537,12.674,13.972,15.27
81.5,-0.3833,10.5586,0.08916,7.484,8.185,8.886,9.672,10.559,11.561,12.701,14.001,15.302
81.6,-0.3833,10.5811,0.08915,7.5,8.203,8.905,9.693,10.581,11.586,12.727,14.031,15.334
81.7,-0.3833,10.6037,0.08915,7.516,8.22,8.924,9.714,10.604,11.611,12.755,14.061,15.367
81.8,-0.3833,10.6263,0.08914,7.533,8.238,8.943,9.735,10.626,11.635,12.781,14.09,15.399
81.9,-0.3833,10.6491,0.08913,7.549,8.256,8.962,9.756,10.649,11.66,12.809,14.12,15.431
82,-0.3833,10.6719,0.08912,7.566,8.274,8.982,9.777,10.672,11.685,12.836,14.15,15.463
82.1,-0.3833,10.6948,0.08911,7.582,8.292,9.001,9.798,10.695,11.71,12.863,14.18,15.496
